Key,Context,Original English,Hebrew (Natural),Hebrew (Formal),Hebrew (Concise),Hebrew (Colloquial),Manual Override,Final Translation
chart_mode_snap,Option,Snapshot,תמונת מצב,פריז (הקפאת נתונים),קבוע,נעול,,תמונת מצב
chart_mode_snap_desc,Desc,Freezes filters at save time,מקפיא סינונים בשעת השמירה,הקפאת נתוני סינון בהתאם למועד יצירת התרשים,סינון קבוע,נשאר קבוע כמו עכשיו,,מקפיא סינונים בשעת השמירה
chart_data_total,Table footer,Total,סך הכל,"סך הכל (סה""כ)","סה""כ",בסך הכל,,סך הכל
cal_event_name_req,Input label,Event Name *,שם האירוע *,שם האירוע (שדה חובה),שם אירוע *,שם אירוע (חובה),,שם האירוע *
cal_event_cat_req,Input label,Category *,קטגוריה *,שיוך קטגוריאלי (שדה חובה),קטגוריה *,סוג (חובה),,קטגוריה *
cal_cat_teacher_lessons,OptGroup,Teacher Lessons,שיעורי מורים,מערך שיעורי סגל,שיעורים,שיעורים רגילים,,שיעורי מורים
cal_cat_indiv_lesson,Option,Individual Lesson,שיעור פרטני,הוראה פרטנית במרכז,פרטני,שיעור פרטי,,שיעור פרטני
cal_cat_group_lesson,Option,Group Lesson,שיעור קבוצתי,פעילות הרכב/קבוצה,קבוצתי,קבוצה,,שיעור קבוצתי
cal_cat_general_events,OptGroup,General Events,אירועים כלליים,רשימת סיווגים כללים (פעילות חיצונית/מנהלה),כללי,שונות (לא שיעורים),,אירועים כלליים
cal_recur_biweekly,Option,Bi-Weekly,דו-שבועי,מופע פעם בשבועיים,דו-שבועי,כל שבועיים,,דו-שבועי
cal_recur_ends_after,Input label,Ends after,מסתיים לאחר,פקיעת תוקף המחזוריות (לאחר),מסתיים אחרי,נגמר אחרי,,מסתיים לאחר
cal_recur_ends_on,Input label,Ends on,מסתיים בתאריך,מועד תפוגת מחזוריות (תאריך ספציפי),מסתיים ב-,עד מתי,,מסתיים בתאריך
cal_recur_occurrences,Suffix,occurrences,מופעים,מופעים חזוריים,פעמים,פעמים,,מופעים
cal_btn_save_series,Button text,Save & Update Series,שמור ועדכן סדרה,שמירת שינויים והחלה על סדרת מופעים שלמה,עדכן סדרה,תשמור על הכל,,שמור ועדכן סדרה
cal_btn_delete_series,Button text,Delete Series,מחק סדרה,מחיקה גורפת לסדרת המופעים,מחק סדרה,תמחק את כל הסדרה,,מחק סדרה
cal_err_sync,Alert dialog,Failed to sync to Google Calendar,סנכרון מול גוגל יומן נכשל,שגיאת מערכת: ניסיון ההתממשקות מול יומן Google לא צלח,שגיאת סנכרון גוגל,לא הצליח לשמור בגוגל,,סנכרון מול גוגל יומן נכשל
cal_err_time,Alert dialog,End time must be after start time,זמן הסיום חייב להיות אחרי זמן ההתחלה,ערך לא תקין: מועד הסיום נדרש להיות מאוחר למועד ההתחלה,סיום לפני התחלה,הסיום לא הגיוני לעומת ההתחלה,,זמן הסיום חייב להיות אחרי זמן ההתחלה
